N,NL,L_direct,L_onthefly
200,0.006741931,0.133399196,0.016005198
100,0.001814013,0.032002842,0.007708777
400,0.026380674,1.048716861,0.062936127
500,0.04406976,1.995442937,0.097833077
600,0.061694135,3.414404739,0.140325889
700,0.085252094,5.394200438,0.192894263
800,0.119419893,11.8030347,0.289763036
900,0.239936101,12.79795142,0.387635008
1000,0.172184068,14.40733943,0.426824224
1100,0.218373086,26.96741582,0.52856966
1200,0.266576508,42.14358163,0.631956266
1300,0.322695799,81.66588449,0.746257516
1400,0.379498289,116.5102763,0.864641485
1500,0.436748526,150.7942828,1.032512331
1600,0.549137163,234.4115572,1.276175668
1700,0.628294129,260.3157039,1.417048702
1900,0.723219269,361.94284,1.67137709
2000,0.803337924,395.1738578,1.803148287
1800,0.940962179,413.4113828,2.116946213
2200,0.970657858,608.9770864,2.319147515
2100,1.305642563,634.3650162,2.90323787
2300,1.053394367,653.3240237,2.445650584
2400,1.143396735,694.8215118,2.620486776
2500,1.255379513,728.5771323,2.8137209
2600,1.34637535,1040.978734,3.571565159
2700,1.446150071,1152.946289,3.503012202
2800,1.545018899,1152.147152,3.624847694
2900,1.667163945,1207.364456,3.887689751
3000,1.817577733,1255.037093,4.16429223
3100,1.896823539,1742.643195,4.810943939
3200,2.014616972,1816.620025,4.906877724
3300,2.12477916,1856.55691,5.047810917
3400,2.270915813,1822.684633,5.315982961
3500,2.391242358,1839.245019,5.80227209
3600,2.504373248,2636.130844,6.494209629
3700,2.638618561,2755.929921,6.591576999
3800,2.788759849,2878.093272,6.727232522
3900,2.921057755,2767.818348,7.013421339
4000,3.095145722,2743.067566,7.69349694
4100,3.273486677,3769.211452,8.458996861
4200,3.45848002,3906.400126,9.552257018
4300,3.585945265,3973.132957,8.989554274
4400,3.755967448,4247.517281,9.049539998
4500,3.926294083,4219.099585,9.597011843
4600,4.081705933,5663.726133,11.18398554
4700,4.27282089,6378.675244,11.99752907
4900,4.604104143,6235.174825,11.70349744
4800,4.458016263,6706.118219,10.8694285
5000,4.799395791,6093.901136,11.60504923
5100,5.005195529,6034.724599,12.58068888
5200,5.240430987,7713.376452,13.73587206
5300,5.424019905,7895.257147,13.74391762
5400,5.616960907,7999.032861,13.86430166
5600,6.011631272,7868.883765,14.63125373
5500,5.862590932,7794.524691,14.73251948
5700,6.175269147,10355.30109,16.77487879
6000,6.872767532,11706.58927,18.26539776
6100,7.059886765,11952.63959,18.15414141
6200,7.311568844,11791.41779,18.19771851
6300,8.45588833,12803.07164,18.55791007
6400,8.690316111,12772.97957,19.41757017
5800,6.46604732,11606.86162,16.68125629
6500,9.190016666,11055.84788,19.8180792
5900,6.672313827,10853.41268,16.94377499
6700,11.69153228,11711.27074,21.24202274
6600,9.435613108,11564.633,20.63679113
7100,9.356056497,14918.25103,23.52347126
7200,9.673616557,15436.06218,25.22527517
7400,11.2971544,17388.59088,28.93782245
7500,11.58845209,17824.58506,29.38477135
6800,9.742398522,15080.37183,26.33807592
6900,10.24772017,18558.02416,22.34599491
7900,11.64920512,22313.56829,31.67979871
7600,10.82681711,20402.96297,27.8652703
7000,9.361748441,18844.94737,24.1540771
7300,10.2558908,18456.25025,25.83523404
7800,11.4141802,22066.54146,28.47993192
7700,11.1818187,20162.19334,28.17695256
8200,12.67609083,28574.28328,35.58312234
8300,13.00752888,30525.63149,35.39223449
8000,12.05101286,28239.67923,31.13143229
8400,13.13530503,31408.22795,33.80984759
8100,12.35910571,25944.41013,31.43813113
8500,13.79301452,37533.85445,42.35777638
9100,15.58011281,40026.52729,46.00052762
8900,15.08988588,39877.69901,41.41923055
9300,16.26285119,40667.14031,43.13502895
8600,14.21974443,40468.18953,37.19565442
9200,15.93466353,41924.04196,40.9725957
9400,16.59000948,41286.05431,41.98087062
9000,15.49642296,39878.56039,39.83140128
9500,16.97514853,40858.14745,44.52570231
9600,17.77373457,37257.51061,43.91247235
8700,14.56978346,39512.5559,37.88323734
9900,18.70578693,47467.543,50.07993047
9700,18.00942024,48164.2904,50.18748013
8800,14.89736495,37219.70624,38.03152684
10000,19.00420109,49890.69699,51.98165943
9800,18.3624775,51010.78641,53.02952175
